name	self_contained	abs_clusters	residual_class	ours_st	ours_t	base_st	base_t	full_nodes	residual_nodes	n_oxidd	n_ltlsynt
Scoreboard.tlsf	1	5	(none / unrealizable verdict)	SOLVED	0.1405548469920177	SOLVED	0.03646555999876	121	0	5	0
Sensor.tlsf	0	0	liveness (F/U/GF/Buchi)					123	123	0	1
SensorInit.tlsf	1	2	(none / unrealizable verdict)	SOLVED	0.3657558139821049	SOLVED	0.050353452999843284	342	0	2	0
SensorPart.tlsf	1	2	(none / unrealizable verdict)	SOLVED	0.8635432579903863	SOLVED	0.0518454959965311	360	0	2	0
SensorRegister.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04295622700010426	SOLVED	0.029662533983355388	11	0	1	0
SensorSelector.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04456880301586352	SOLVED	0.04719892199500464	277	0	1	0
SensorSubmodulChooser.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04965714301215485	SOLVED	0.06633539599715732	297	0	1	0
Shades2Min_63831f8c.tlsf	0	0	liveness (F/U/GF/Buchi)					31	31	0	1
Shades2_235467da.tlsf	0	0	liveness (F/U/GF/Buchi)					60	60	0	1
Shades2_42dc4fff.tlsf	0	0	liveness (F/U/GF/Buchi)					78	78	0	1
Shades2_70523fbe.tlsf	0	0	liveness (F/U/GF/Buchi)					60	60	0	1
Shades2_a5f99bc6.tlsf	0	0	liveness (F/U/GF/Buchi)					58	58	0	1
ShadesMin_aeb1d897.tlsf	0	0	liveness (F/U/GF/Buchi)					29	29	0	1
Shades_6479ef9a.tlsf	0	0	liveness (F/U/GF/Buchi)					58	58	0	1
Shades_974f4a68.tlsf	0	0	liveness (F/U/GF/Buchi)					94	94	0	1
Shades_9cac58d3.tlsf	0	0	liveness (F/U/GF/Buchi)					58	58	0	1
Shades_a02758ea.tlsf	0	0	liveness (F/U/GF/Buchi)					56	56	0	1
SingleContoller_d65ed84e.tlsf	0	0	liveness (F/U/GF/Buchi)					156	156	0	1
SliderDefault.tlsf	0	0	liveness (F/U/GF/Buchi)					76	76	0	1
SliderDelayed.tlsf	0	0	liveness (F/U/GF/Buchi)					145	145	0	1
SliderScored.tlsf	0	0	liveness (F/U/GF/Buchi)					141	141	0	1
System_b0840146.tlsf	0	0	liveness (F/U/GF/Buchi)					67	67	0	1
Time_a50cadd7.tlsf	1	0	(none / unrealizable verdict)					0	0	0	0
Timer_a50cadd7.tlsf	0	0	liveness (F/U/GF/Buchi)					51	51	0	1
TorcsAccelerating.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04408630501711741	SOLVED	0.023666865978157148	61	0	1	0
TorcsGearing.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04349400699720718	SOLVED	0.023027907009236515	47	0	1	0
TorcsSimple.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.04682142200181261	SOLVED	0.027145303989527747	96	0	1	0
TorcsSteeringImproved.tlsf	0	0	W/R safety not yet handled					172	172	0	1
