name	rc_off	rc_ms
amba_decomposed_lock_pb_120_pe_.tlsf	1	1
amba_decomposed_lock_pb_12_pe_.tlsf	0	0
amba_decomposed_lock_pb_13_pe_.tlsf	0	0
amba_decomposed_lock_pb_14_pe_.tlsf	0	0
amba_decomposed_lock_pb_150_pe_.tlsf	1	1
amba_decomposed_lock_pb_15_pe_.tlsf	0	0
amba_decomposed_lock_pb_16_pe_.tlsf	0	0
amba_decomposed_lock_pb_200_pe_.tlsf	1	1
amba_decomposed_lock_pb_2_pe_.tlsf	0	0
amba_decomposed_lock_pb_30_pe_.tlsf	1	1
amba_decomposed_lock_pb_3_pe_.tlsf	0	0
amba_decomposed_lock_pb_4_pe_.tlsf	0	0
amba_decomposed_lock_pb_5_pe_.tlsf	0	0
amba_decomposed_lock_pb_60_pe_.tlsf	1	1
amba_decomposed_lock_pb_6_pe_.tlsf	0	0
amba_decomposed_lock_pb_7_pe_.tlsf	0	0
amba_decomposed_lock_pb_8_pe_.tlsf	0	0
amba_decomposed_lock_pb_9_pe_.tlsf	0	0
amba_decomposed_shift.tlsf	0	0
amba_decomposed_tburst4.tlsf	1	1
amba_decomposed_tincr.tlsf	0	0
amba_decomposed_tsingle.tlsf	1	1
amba_gr+_pb_10_pe_.tlsf	1	1
amba_gr+_pb_11_pe_.tlsf	1	1
amba_gr+_pb_12_pe_.tlsf	1	1
amba_gr+_pb_2_pe_.tlsf	1	1
amba_gr+_pb_3_pe_.tlsf	1	1
amba_gr+_pb_4_pe_.tlsf	1	1
amba_gr+_pb_5_pe_.tlsf	1	1
amba_gr+_pb_6_pe_.tlsf	1	1
amba_gr+_pb_7_pe_.tlsf	1	1
amba_gr+_pb_8_pe_.tlsf	1	1
amba_gr+_pb_9_pe_.tlsf	1	1
amba_gr_pb_10_pe_.tlsf	1	1
amba_gr_pb_11_pe_.tlsf	1	1
amba_gr_pb_12_pe_.tlsf	1	1
amba_gr_pb_2_pe_.tlsf	0	0
amba_gr_pb_3_pe_.tlsf	1	1
amba_gr_pb_4_pe_.tlsf	1	1
amba_gr_pb_5_pe_.tlsf	1	1
amba_gr_pb_6_pe_.tlsf	1	1
amba_gr_pb_7_pe_.tlsf	1	1
amba_gr_pb_8_pe_.tlsf	1	1
amba_gr_pb_9_pe_.tlsf	1	1
arbiter-paper-unreal-unreal.tlsf	1	1
arbiter-with-failure-real.tlsf	1	1
arbiter_on_inpchange_pb_10_pe_.tlsf	1	1
arbiter_on_inpchange_pb_1_pe_.tlsf	1	1
arbiter_on_inpchange_pb_2_pe_.tlsf	1	1
arbiter_on_inpchange_pb_3_pe_.tlsf	1	1
arbiter_on_inpchange_pb_4_pe_.tlsf	1	1
arbiter_on_inpchange_pb_5_pe_.tlsf	1	1
arbiter_on_inpchange_pb_6_pe_.tlsf	1	1
arbiter_on_inpchange_pb_7_pe_.tlsf	1	1
arbiter_on_inpchange_pb_8_pe_.tlsf	1	1
arbiter_on_inpchange_pb_9_pe_.tlsf	1	1
arbiter_pb_10_pe_.tlsf	1	1
arbiter_pb_1_pe_.tlsf	1	1
arbiter_pb_2_pe_.tlsf	1	1
arbiter_pb_3_pe_.tlsf	1	1
arbiter_pb_4_pe_.tlsf	1	1
arbiter_pb_5_pe_.tlsf	1	1
arbiter_pb_6_pe_.tlsf	1	1
arbiter_pb_7_pe_.tlsf	1	1
arbiter_pb_8_pe_.tlsf	1	1
arbiter_pb_9_pe_.tlsf	1	1
arbiter_with_buffer_pb_10_pe_.tlsf	1	1
arbiter_with_buffer_pb_1_pe_.tlsf	1	1
arbiter_with_buffer_pb_2_pe_.tlsf	1	1
arbiter_with_buffer_pb_3_pe_.tlsf	1	1
arbiter_with_buffer_pb_4_pe_.tlsf	1	1
arbiter_with_buffer_pb_5_pe_.tlsf	1	1
arbiter_with_buffer_pb_6_pe_.tlsf	1	1
arbiter_with_buffer_pb_7_pe_.tlsf	1	1
arbiter_with_buffer_pb_8_pe_.tlsf	1	1
arbiter_with_buffer_pb_9_pe_.tlsf	1	1
arbiter_with_cancel_pb_10_pe_.tlsf	1	1
arbiter_with_cancel_pb_1_pe_.tlsf	1	1
arbiter_with_cancel_pb_2_pe_.tlsf	1	1
arbiter_with_cancel_pb_3_pe_.tlsf	1	1
arbiter_with_cancel_pb_4_pe_.tlsf	1	1
arbiter_with_cancel_pb_5_pe_.tlsf	1	1
arbiter_with_cancel_pb_6_pe_.tlsf	1	1
arbiter_with_cancel_pb_7_pe_.tlsf	1	1
arbiter_with_cancel_pb_8_pe_.tlsf	1	1
arbiter_with_cancel_pb_9_pe_.tlsf	1	1
batch-arbiter-real.tlsf	1	1
box-limited-real.tlsf	0	0
box-real.tlsf	0	0
box0.tlsf	0	0
box1.tlsf	0	0
buffer-storage-real.tlsf	1	1
chain-4-real.tlsf	1	1
chain-5-real.tlsf	1	1
chain-60.tlsf	1	1
chain-70.tlsf	1	1
